1773880001.748	scout	space	260
1773880003.038	scout	W	500
1773880006.039	scout	look_left	800
1773880015.335	scout	W	400
1773880018.000	scout	look_left	800
1773880026.582	scout	W	400
1773880029.356	scout	W	400
1773880032.147	scout	look_right	800
1773880042.664	scout	W	400
1773880044.199	scout	W	400
1773880045.736	scout	W	800
1773880049.669	scout	space	300
1773880051.153	scout	W	700
1773880052.883	scout	none	150
1773880054.738	scout	look_right	300
1773880060.015	scout	W	700
1773880061.761	scout	space	260
1773880063.074	scout	W	500
1773880065.880	scout	look_right	300
1773880070.584	scout	W	700
1773880072.415	scout	space	260
1773880073.826	scout	W	500
1773880079.616	scout	W	600
1773880083.200	scout	A	200
1773880084.588	scout	W	600
1773880086.272	scout	space	280
1773880087.779	scout	look_right	300
1773880090.641	scout	W	700
1773880092.472	scout	space	260
1773880093.862	scout	W	500
1773880096.621	scout	W	600
1773880100.557	scout	A	200
1773880101.335	scout	W	600
1773880102.849	scout	space	280
1773880279.448	scout	look_left	800
1773880288.659	scout	W	400
1773880290.258	scout	W	600
1773880293.942	scout	A	200
1773880295.279	scout	W	600
1773880297.055	scout	space	280
1773880298.737	scout	W	800
1773880303.620	scout	space	300
1773880306.420	scout	W	700
1773880451.268	scout	look_left	800
1773880463.150	scout	W	400
1773880464.845	scout	A	300
1773880471.852	scout	W	400
1773880473.444	scout	W	400
1773880476.200	scout	look_left	800
1773880486.124	scout	W	400
1773880488.936	scout	look_left	800
1773880499.972	scout	W	400
1773880501.613	scout	W	400
1773880504.712	scout	look_left	800
1773880518.144	scout	W	400
1773880519.805	scout	W	400
1773880522.698	scout	look_left	300
1773880528.204	scout	W	700
1773880530.087	scout	space	260
1773880532.625	scout	W	500
1773880534.370	scout	A	400
1773880538.514	scout	A	400
1773880540.111	scout	A	300
1773880542.780	scout	look_left	300
1773880548.606	scout	W	700
1773880550.532	scout	space	260
1773880552.015	scout	W	500
1773880554.722	scout	A	400
1773880558.504	scout	A	400
1773880560.052	scout	A	300
1773880561.513	scout	W	400
1773880565.362	scout	A	300
1773880566.693	scout	W	400
1773880569.278	scout	look_right	400
1773880575.194	scout	W	400
1773880577.768	scout	W	350
1773880580.232	scout	look_right	533
1773880586.775	scout	W	400
1773880588.274	scout	W	350
1773880590.956	scout	look_left	300
1773880596.120	scout	W	700
1773880597.909	scout	space	260
1773880599.289	scout	W	500
1773880602.048	scout	look_right	533
1773880609.368	scout	W	400
1773880610.865	scout	W	400
1773880613.350	scout	look_right	533
1773880619.873	scout	W	400
1773880621.363	scout	W	400
1773880623.838	scout	look_left	300
1773880629.228	scout	W	700
1773880632.175	scout	space	260
1773880633.553	scout	W	500
1773880635.169	scout	W	800
1773880639.611	scout	space	300
1773880640.855	scout	W	700
1773880642.596	scout	none	150
1773880644.394	scout	look_right	311
1773880649.373	scout	W	400
1773880651.628	scout	W	400
1773880653.263	scout	look_left	533
1773880659.182	scout	W	400
1773880660.133	scout	W	400
1773880804.654	scout	S	300
1773880809.517	scout	look_left	800
1773880817.614	scout	W	400
1773880819.233	scout	W	400
1773880826.718	scout	look_right	400
1773880830.606	scout	W	400
1773880833.685	scout	look_right	300
1773880839.554	scout	W	700
1773880842.780	scout	space	260
1773880844.162	scout	W	500
1773880845.835	scout	W	600
1773880850.400	scout	A	200
1773880851.723	scout	W	600
1773880853.383	scout	space	280
1773895373.612	look_left	800
1773895382.871	W	400
1773895386.551	none	300
1773895389.299	W	400
1773895393.486	none	300
1773895396.311	W	400
1773895401.121	look_left	800
1773895409.974	W	400
1773895413.928	W	400
1773895417.698	W	400
1773895421.948	W	400
1773895425.577	W	400
1773895430.166	look_left	533
1773895437.222	W	400
1773895440.840	W	400
1773895445.414	W	400
1773895449.812	look_right	400
1773895456.001	look_right	800
1773895465.365	none	300
1773895468.391	look_right	800
1773895477.527	look_right	800
1773895484.796	S	300
